Question,Choice1,Choice2,Choice3,Choice4,Choice5,Answer,Explane
The AWS global infrastructure is composed of? (choose 2),1. Regions,2. Clusters,3. Fault Zones,4. Availability Zones,5. IP subnets,"1. Regions, 4. Availability Zones","The aws global infrastructure is built around regions and availability zones (azs) A Region is a physical location in the world where AWS have multiple AZs
AZs consist of one or more discrete data centers, each with redundant power, networking, and connectivity, housed in separate facilities"
Which of the statements below is accurate regarding Amazon S3 buckets? (choose 2),1. Bucket names must be unique regionally,2. Buckets are replicated globally,3. Bucket names must be unique globally,4. Buckets are region-specific,5. Buckets can contain other buckets,"3. Bucket names must be unique globally, 4. Buckets are region-specific","S3 uses a universal (global) namespace, which means bucket names must be unique globally. However, you create the buckets in a region and the data never leaves that region unless explicitly configured to do so through cross-region replication (CRR)
Objects within a bucket are replicated within a region across multiple AZs (except for the One-Zone IA class)
You cannot create nested buckets"
"Which AWS storage technology can be considered a ""virtual hard disk in the cloud""?",1. Amazon Elastic File Storage (EFS) filesystem,2. Amazon Elastic Block Storage (EBS) volume,3. Amazon S3 object,4. Amazon Glacier archive,,2. Amazon Elastic Block Storage (EBS) volume,"An ebs volume is a block storage device that is most similar to a virtual hard disk in the cloud as when attached to an instance it appears as a local disk that can have an operating system installed on or be formatted and used for any other local storage purpose
An EFS filesystem is mounted over the NFS protocol which is a file-level protocol. Therefore, it is a network filesystem not a virtual hard disk and cannot have an operating system installed or be formatted and used as a locally attached disk
S3 is an object storage system and cannot be mounted and used as a virtual hard drive
Glacier is an archiving solution where you can archive your S3 objects at extremely low cost"
Which service records API activity on your account and delivers log files to an Amazon S3 bucket?,1. Amazon CloudWatch,2. Amazon S3 Event Notifications,3. Amazon CloudTrail,4. Amazon CloudWatch Logs,,3. Amazon CloudTrail,"Aws cloudtrail is a web service that records activity made on your account and delivers log files to an Amazon S3 bucket
CloudTrail is for auditing (CloudWatch is for performance monitoring)
S3 Event Notifications is a feature that notifies you when certain events happen in your S3 buckets, it does not record API activity at the account level
Amazon CloudWatch Logs lets you monitor and troubleshoot your systems and applications using your existing system, application and custom log files"
The IAM service can be used to manage which objects? (choose 2),1. Security groups,2. Access policies,3. Roles,4. Network ACLs,5. Key pairs,"2. Access policies, 3. Roles","Access policies are objects that you attach to entities and resources to define their permissions
Roles are created and then “assumed” by trusted entities and define a set of permissions for making AWS service requests
Security groups and network ACLs are used as instance-level and subnet-level firewalls respectively
Key pairs are created in EC2 and are used to login to EC2 instances. Don't confuse these with access keys and secret IDs which are used to grant programmatic access to resources"
Which types of pricing policies does AWS offer? (choose 2),1. Pay-as-you-go,2. Enterprise license agreement (ELA),3. Non-peak hour discounts,4. Global usage discounts,5. Save when you reserve,"1. Pay-as-you-go, 5. Save when you reserve","Amazon pricing includes options for pay-as-you-go, save when you reserve and pay less by using more Amazon does not offer ELAs, non-peak hour discounts, or global usage discounts"
Which tool enables you to visualize your usage patterns over time and to identify your underlying cost drivers?,1. AWS Simple Monthly Calculator,2. Total Cost of Ownership (TCO) Calculator,3. AWS Cost Explorer,4. AWS Budgets,,3. AWS Cost Explorer,"The aws cost explorer is a free tool that allows you to view charts of your costs. you can view cost data for the past 13 months and forecast how much you are likely to spend over the next three months. Cost Explorer can be used to discover patterns in how much you spend on AWS resources over time and to identify cost problem area
The TCO calculator is a free tool provided by AWS that allows you to estimate the cost savings of using the AWS Cloud vs. using an on-premised data center
The AWS Simple Monthly Calculator helps customers and prospects estimate their monthly AWS bill more efficiently
AWS Budgets gives you the ability to set custom budgets that alert you when your costs or usage exceed (or are forecasted to exceed) your budgeted amount"
What advantages do you get from using the AWS cloud? (choose 2),1. Trade capital expense for variable expense,2. Stop guessing about capacity,3. Increased capital expenditure,4. Gain greater control of the infrastructure layer,5. Comply with all local security compliance programs,"1. Trade capital expense for variable expense, 2. Stop guessing about capacity","The 6 advantages of cloud are:
1 Trade capital expense for variable expense
2 Benefit from massive economies of scale 3 Stop guessing about capacity
4 Increase speed and agility
5 Stop spending money running and maintaining data centres 6 Go global in minutes
You do not gain greater control of the infrastructure layer as AWS largely control this, and though AWS is compliant with lots of security compliance programs, not all programs in all local countries will be included"
A company plans to create a hybrid cloud architecture. What technology will allow them to create a hybrid cloud?,1. VPC Peering,2. Internet Gateway,3. Direct Connect,4. Elastic Network Interface,,3. Direct Connect,"Direct connect provides a low-latency, high bandwidth connection to connect customer onpremise environments with the aws cloud which allows them to create a ""hybrid"" cloud architecture
VPC peering is a way of allowing routing between VPCs in different AWS accounts
An Internet Gateway is used to connect public subnets to the Internet (egress)
An Elastic Network Interface (ENI) is a logical networking component in a VPC that represents a virtual network card"
Which service supports the resolution of public domain names to IP addresses or AWS resources?,1. Amazon Route 53,2. Amazon CloudFront,3. Amazon SNS,4. Hosted Zones,,1. Amazon Route 53,"Amazon route 53 is a highly available and scalable domain name system (dns) service A hosted zone is a collection of records for a specified domain in Route 53
CloudFront is a content delivery network (CDN) that allows you to store (cache) your content at “edge locations” located around the world
Simple Notification Service is used to send notifications over multiple transport protocols"
What can you use to quickly connect your office securely to your Amazon VPC?,1. Route Table,2. Internet Gateway,3. Direct Connect,4. AWS managed VPN,,4. AWS managed VPN,"An aws managed vpn can be used to quickly connect from an office to an amazon vpc
Direct Connect provides high-bandwidth, low-latency connectivity but takes weeks to months to setup (and is much more expensive)
An Internet Gateway is used to connect a public subnet to the Internet (egress)
A Route Table is part of a VPC and is used to control how traffic is routed within the VPC"
What is the scope of a VPC within a region?,1. Spans all Availability Zones within the region,2. Spans all Availability Zones globally,3. At least 2 subnets per region,4. At least 2 data centers per region,,1. Spans all Availability Zones within the region,"A vpc spans all availability zones within a region
VPCs do not span regions, you create VPCs in each region
VPCs are not limited by subnets, subnets are created within AZs and you can have many subnets in an AZ
An AZ uses one or more data centers. AWS does not publicize the details"
Which type of Amazon Elastic Load Balancer operates at layer 7 of the OSI model?,1. Application Load Balancer,2. Network Load Balancer,3. Classic Load Balancer,4. F5 Load Balancer,,1. Application Load Balancer,"Application load balancer (alb) – layer 7 load balancer that routes connections based on the content of the request
Network Load Balancer (NLB) – layer 4 load balancer that routes connections based on IP protocol data
Classic Load Balancer (CLB) – this is the oldest of the three and provides basic load balancing at both layer 4 and layer 7
An F5 load balancer is not an Amazon load balancer"
Which services can help to automate a company's IT infrastructure? (choose 2),1. Amazon CloudWatch Alarms,2. Amazon Route 53,3. AWS Lambda Scheduled Events,4. Virtual Private Cloud,5. Elastic Network Interface,"1. Amazon CloudWatch Alarms, 3. AWS Lambda Scheduled Events","Amazon cloudwatch alarms – you can create a cloudwatch alarm that sends an amazon
Simple Notification Service (Amazon SNS) message when a particular metric goes beyond a specified threshold for a specified number of periods
AWS Lambda Scheduled events – These events allow you to create a Lambda function and direct AWS Lambda to execute it on a regular schedule
Amazon Route 53 is a DNS service and does not offer automation
A VPC is a logical networking construct and is not an example of automation
An ENI is a logical network adapter and is not an example of automation"
Which database service is a NoSQL type of database that is fully managed?,1. Amazon RDS,2. Amazon DynamoDB,3. Amazon RedShift,4. Amazon ElastiCache,,2. Amazon DynamoDB,"Dynamodb is amazon’s fully managed non-relational database service Amazon RDS is a relational (SQL) type of database
Amazon RedShift is a data warehouse that can be analyzed using SQL tools
Elasticache is a data caching service that is used to help improve performance"
Which storage service allows you to connect multiple EC2 instances concurrently using file-level protocols?,1. Amazon S3,2. Amazon EBS,3. Amazon EFS,4. Amazon Glacier,,3. Amazon EFS,"Amazon elastic file system allows you to connect hundreds or thousands of ec2 instances concurrently and is accessed using the file-level NFS protocol
Amazon Elastic Block Storage provides block-level volumes to individual EC2 instances (cannot connect multiple instances to a single EBS volume)
Amazon S3 is an object storage system and Glacier is used for archiving S3 objects"
For which services does Amazon not charge customers? (choose 2),1. Amazon VPC,2. Amazon EBS,3. Amazon CloudFormation,4. Amazon S3,5. Amazon SNS,"1. Amazon VPC, 3. Amazon CloudFormation","Amazon vpc and cloudformation are free of charge, however in the case of cloudformation you pay for the resources it creates
All other listed services are chargeable"
What architectural best practice aims to reduce the interdependencies between services?,"1. Services, Not Servers",2. Removing Single Points of Failure,3. Automation,4. Loose Coupling,,4. Loose Coupling,"As application complexity increases, a desirable attribute of an it system is that it can be broken into smaller, loosely coupled components. This means that IT systems should be designed in a way that reduces interdependencies—a change or a failure in one component should not cascade to other components
The concept of loos coupling includes ""well-defined interfaces"" which reduce interdependencies in a system by enabling interaction only through specific, technologyagnostic interfaces (e.g. RESTful APIs)"
Which AWS database service supports complex queries and joins and is suitable for a transactional database deployment?,1. Amazon RDS,2. Amazon DynamoDB,3. Amazon RedShift,4. Amazon EMR,,1. Amazon RDS,"Amazon rds supports complex queries and joins and is suitable for a transactional database deployment
Amazon DynamoDB is a NoSQL database and does not support to complex queries and joins
Amazon RedShift is a data warehouse used for analytic not transactional databases
Amazon EMR is a Hadoop service that is not suitable for transactional databases"
"Under the shared responsibility model, what are examples of shared controls? (choose 2)",1. Patch management,2. Storage system patching,3. Physical and environmental,4. Configuration management,5. Service and Communications Protection,"1. Patch management, 4. Configuration management","Shared controls– controls which apply to both the infrastructure layer and customer layers, but in completely separate contexts or perspectives
Patch Management– AWS is responsible for patching and fixing flaws within the infrastructure, but customers are responsible for patching their guest OS and applications
Configuration Management– AWS maintains the configuration of its infrastructure devices, but a customer is responsible for configuring their own guest operating systems, databases, and applications
Service and Communications Protection is an example of a customer specific control Storage system patching is an AWS responsibility
Physical and Environmental controls is an example of an inherited control (a customer fully inherits from AWS)"
How can an organization compare the cost of running applications in an on-premise or colocation environment against the AWS cloud?,1. AWS Budgets,2. AWS Simple Monthly Calculator,3. TCO Calculator,4. AWS Cost Explorer,,3. TCO Calculator,"The tco calculator is a free tool provided by aws that allows you to estimate the cost savings of using the AWS Cloud vs. using an on-premised data center
The AWS Cost Explorer is a free tool that allows you to view charts of your costs. You can view cost data for the past 13 months and forecast how much you are likely to spend over the next three months. Cost Explorer can be used to discover patterns in how much you spend on AWS resources over time and to identify cost problem area
The AWS Simple Monthly Calculator helps customers and prospects estimate their monthly AWS bill more efficiently
AWS Budgets gives you the ability to set custom budgets that alert you when your costs or usage exceed (or are forecasted to exceed) your budgeted amount"
What is the most cost-effective EC2 pricing option to use for a non-critical overnight workload?,1. On-Demand,2. Spot,3. Reserved Instance,4. Dedicated Host,,2. Spot,"Spot instances are good for short term requirements as they can be very economical. Sometimes AWS may terminate your instance, e.g. when the market price exceeds your bid price. This is a good option for non-critical workloads that can be terminated On-Demand is not the most economical option
Reserved instances are good for long-term, static requirements as you must lock-in for 1 or 3 years in return for a decent discount
Dedicated hosts provide a full server dedicated to a single customer and is therefore expensive"
Which service allows you to run code as functions without needing to provision or manage servers?,1. Amazon EC2,2. Amazon CodeDeploy,3. AWS Lambda,4. Amazon EKS,,3. AWS Lambda,"Aws lambda is a serverless computing technology that allows you to run code without provisioning or managing servers
Lambda is a serverless computing technology that allows you to run code without provisioning or managing servers
AWS CodeDeploy is a fully managed deployment service that automates software deployments to a variety of compute services such as Amazon EC2, AWS Lambda, and your on-premises servers
Amazon Elastic Container Service for Kubernetes (Amazon EKS) is a managed service that makes it easy for you to run Kubernetes on AWS without needing to stand up or maintain your own Kubernetes control plane"
What benefits does Amazon EC2 provide over using non-cloud servers? (choose 2),1. Complete control of the hypervisor layer,2. Elastic web-scale computing,3. Inexpensive,4. Fault tolerance,5. High-availability with an SLA of 99.99%,"2. Elastic web-scale computing, 3. Inexpensive","Elastic Web-Scale computing– you can increase or decrease capacity within minutes not hours and commission one to thousands of instances simultaneously
Inexpensive – Amazon passes on the financial benefits of scale by charging very low rates and on a capacity consumed basis
Amazon EC2 does not provide any control of the hypervisor or underlying hardware infrastructure
Amazon does not offer fault tolerance for EC2, you need to design this into your application stack (and assume things will fail)
EC2 offers a highly reliable environment where replacement instances can be rapidly and predictably commissioned with SLAs of 95% for each region"
Which type of Elastic Load Balancer operates at the connection layer (layer 4) and supports IP addresses as targets?,1. Application Load Balancer,2. Network Load Balancer,3. Classic Load Balancer,4. ELBs do not support IP addresses as targets,,2. Network Load Balancer,"Network load balancer (nlb) – layer 4 load balancer that routes connections based on ip protocol data
The NLB and ALB support IP addresses as targets but only the NLB operates at layer 4
Application Load Balancer (ALB) – layer 7 load balancer that routes connections based on the content of the request
Classic Load Balancer (CLB) – this is the oldest of the three and provides basic load balancing at both layer 4 and layer 7"
Which of the following are features of Amazon CloudWatch? (choose 2),1. Used to gain system-wide visibility into resource utilization,2. Records account activity and service events from most AWS services,3. Used for auditing of API calls,"4. Can be accessed via API, command-line interface, AWS SDKs, and the AWS ManagementConsole",5. Provides visibility into user activity by recording actions taken on your account,"1. Used to gain system-wide visibility into resource utilization, 4. Can be accessed via API, command-line interface, AWS SDKs, and the AWS ManagementConsole","Amazon cloudwatch is a monitoring service for aws cloud resources and the applications you run on AWS CloudWatch is for performance monitoring (CloudTrail is for auditing)
CloudWatch is used to collect and track metrics, collect and monitor log files, and set alarms
AWS CloudTrail is a web service that records activity made on your account and delivers log files to an Amazon S3 bucket
CloudTrail is for auditing (CloudWatch is for performance monitoring)
CloudTrail is about logging and saves a history of API calls for your AWS account
CloudTrail records account activity and service events from most AWS services"
Amazon S3 bucket names must follow as set of rules. Which of the rules below apply to Amazon S3 bucket names? (choose 2),1. Names must be unique across all of AWS,2. Names must be 3 to 63 characters in length,3. Names must contain uppercase letters,4. Names must be unique within a region,5. Names must be formatted as a DNS domain name,"1. Names must be unique across all of AWS, 2. Names must be 3 to 63 characters in length","Bucket names must follow the following rules:
- Names must be unique across all of AWS - Names must be 3 to 63 characters in length
- Names can only contain lowercase letters, numbers and hyphens - Names cannot be formatted as an IP address"
Which of the following statements are correct about Elastic Block Store (EBS) volumes? (choose 2),1. Root EBS volumes are retained on termination by default,2. EBS volumes must be in the same AZ as the instances they are attached to,3. You can attach multiple EBS volumes to an instance,4. You can attach an EBS volume to multiple instances,5. EBS volumes cannot be backed up,"2. EBS volumes must be in the same AZ as the instances they are attached to, 3. You can attach multiple EBS volumes to an instance","Ebs volumes must be in the same az as the instances they are attached to You can attach multiple EBS volumes to an instance
Root EBS volumes are deleted on termination by default
You cannot attach an EBS volume to multiple instances
EBS volumes can be backed up by taking a snapshot"
What constraints apply to customers when performing penetration testing? (choose 2),1. Permission is required for all penetration tests,2. You can perform penetration testing on your own systems at any time without priorauthorization,3. You must complete and submit the AWS Vulnerability / Penetration Testing Request Form torequest authorization,4. Penetration testing can be performed against any AWS resources,5. Penetration testing must be performed by a certified security consultant,"1. Permission is required for all penetration tests, 3. You must complete and submit the AWS Vulnerability / Penetration Testing Request Form torequest authorization","Penetration testing is the practice of testing one’s own application’s security for vulnerabilities by simulating an attack. AWS allows penetration testing; however, you must request permission from AWS Permission is required for all penetration tests
You must complete and submit the AWS Vulnerability / Penetration Testing Request Form to request authorization for penetration testing to or originating from any AWS resources
There is a limited set of resources on which penetration testing can be performed"
Which statement below is incorrect in relation to Network ACLs?,1. Operate at the Availability Zone level,2. Support allow and deny rules,3. Stateless,4. Process rules in order,,1. Operate at the Availability Zone level,Network acls operate at the subnet level
What benefits are provided by Amazon CloudFront? (choose 2),1. Allows you to register domain names,2. Built-in Distributed Denial of Service (DDoS) attack protection,3. Used to enable private subnet instances to access the Internet,4. Content is cached at Edge Locations for fast distribution to customers,5. Provides a worldwide distributed DNS service,"2. Built-in Distributed Denial of Service (DDoS) attack protection, 4. Content is cached at Edge Locations for fast distribution to customers","Cloudfront is a content delivery network (cdn) that allows you to store (cache) your content at “edge locations” located around the world
This allows customers to access content more quickly and provides security against DDoS attacks
CloudFront can be used for data, videos, applications, and APIs Benefits include:
- Cache content at Edge Location for fast distribution to customers 
- Built-in Distributed Denial of Service (DDoS) attack protection
- Integrates with many AWS services (S3, EC2, ELB, Route 53, Lambda)"
Which service can be used to help you to migrate databases to AWS quickly and securely?,1. AWS KMS,2. AWS SMS,3. AWS DMS,4. AWS Migration Hub,,3. AWS DMS,"Aws database migration service helps you migrate databases to aws quickly and securely
AWS Server Migration Service (SMS) is an agentless service which makes it easier and faster for you to migrate thousands of on-premises workloads to AWS AWS Key Management Service (KMS) is used for managing encryption keys
AWS Migration Hub provides a single location to track the progress of application migrations across multiple AWS and partner solutions"
Which feature can you use to grant read/write access to an Amazon S3 bucket?,1. IAM Role,2. IAM Policy,3. IAM Group,4. IAM User,,2. IAM Policy,"Iam policies are documents that define permissions and can be applied to users, groups and roles
IAM policies can be written to grant access to Amazon S3 buckets
IAM Roles are created and then “assumed” by trusted entities and define a set of permissions for making AWS service requests
IAM Groups are collections of users and have policies attached to them An IAM user is an entity that represents a person or service"
Which AWS support plan should you use if you need a response time of < 15 minutes for a businesscritical system failure?,1. Basic,2. Developer,3. Business,4. Enterprise,,4. Enterprise,"Only the enterprise plan provides a response time of < 15 minutes for the failure of a business-critical system
Both Business and Enterprise offer < 1-hour response time for the failure of a production system"
Which AWS service is used to enable multi-factor authentication?,1. Amazon STS,2. AWS IAM,3. Amazon EC2,4. AWS KMS,,2. AWS IAM,"Iam is used to securely control individual and group access to aws resources IAM can be used to manage multi-factor authentication
The AWS Security Token Service (STS) is a web service that enables you to request temporary, limited-privilege credentials for IAM users or for users that you authenticate (federated users)
AWS Key Management Service (KMS) is a managed service that makes it easy for you to create and control the encryption keys used to encrypt your data
Amazon EC2 is used for running operating systems instances in the cloud"
"Which AWS service can be used to convert video and audio files from their source format into versions that will playback on devices like smartphones, tablets and PC?",1. Elastic Transcoder,2. Elastic Beanstalk,3. Elastic Load Balancer,4. Auto Scaling,,1. Elastic Transcoder,"Amazon elastic transcoder is a highly scalable, easy to use and cost-effective way for developers and businesses to convert (or “transcode”) video and audio files from their source format into versions that will playback on devices like smartphones, tablets and PCs
AWS Elastic Beanstalk can be used to quickly deploy and manage applications in the AWS Cloud
ELB is used to distribute incoming connections to EC2 instances and Auto Scaling is used to automatically ensure the right number of EC2 instances are available to service current load"
What method can you use to take a backup of an Amazon EC2 instance using AWS tools?,1. Take full and incremental file-level backups using the backup console,2. Take application-consistent backups using the EC2 API,3. Use Cross Region Replication (CRR) to copy the instance to another region,4. Take a snapshot to capture the point-in-time state of the instance,,4. Take a snapshot to capture the point-in-time state of the instance,"You can take snapshots of ec2 instances which creates a point-in-time copy of the instance. Snapshots are stored on S3
If you make periodic snapshots of a volume, the snapshots are incremental, which means that only the blocks on the device that have changed after your last snapshot are saved in the new snapshot
There is no backup console to take full and incremental backups
There is no way of taking application-consistent backups using any AWS tools
Cross Region Replication is used to replicate Amazon S3 buckets are across regions"
What are two ways that moving to an AWS cloud can benefit an organization? (choose 2),1. Switch to a CAPEX model,2. Increase speed and agility,3. Stop guessing about capacity,4. Depreciate assets over a longer timeframe,5. Gain greater control of data center security,"2. Increase speed and agility, 3. Stop guessing about capacity","Eliminate guessing on your infrastructure capacity needs. when you make a capacity decision prior to deploying an application, you often end up either sitting on expensive idle resources or dealing with limited capacity. With cloud computing, these problems go away. You can access as much or as little capacity as you need, and scale up and down as required with only a few minutes’ notice
In a cloud computing environment, new IT resources are only a click away, which means that you reduce the time to make those resources available to your developers from weeks to just minutes. This results in a dramatic increase in agility for the organization, since the cost and time it takes to experiment and develop is significantly lower
Cloud is based on an operational expenditure (OPEX) model, not a capital expenditure (CAPEX) model
Cloud does not provide the ability to depreciate assets over a longer timeframe as you generally do not own the assets
Though the AWS cloud does provide significant security standards for the data center, you do not get more control as this is an AWS responsibility"
Which of the following statements is correct in relation to consolidated billing? (choose 2),1. Paying accounts are independent and cannot access resources of other accounts,2. Used to consolidate billing across organizations,3. One bill is provided per AWS organization,4. Volume pricing discounts cannot be applied to resources,5. Only available to Enterprise customers,"1. Paying accounts are independent and cannot access resources of other accounts, 3. One bill is provided per AWS organization","Aws organizations allow you to consolidate multiple aws accounts into an organization that you create and centrally manage
Note that it allows you to consolidate billing across accounts within an organization not across organizations
Volume pricing discounts can be applied to resources
Consolidated billing is available to all customers"
Which AWS service allows you to use block-based volumes on-premise that are then asynchronously backed up to Amazon S3?,1. AWS Storage Gateway File Gateway,2. AWS Storage Gateway Volume Gateway,3. Amazon S3 Multi-Part upload,4. Amazon S3 Transfer Acceleration,,2. AWS Storage Gateway Volume Gateway,"Aws storage gateway volume gateway represents the family of gateways that support blockbased volumes, previously referred to as gateway-cached and gateway-stored mode AWS Storage Gateway Volume Gateway operates in 2 modes:
- Stored Volume mode – the entire dataset is stored on-site and is asynchronously backed up to S3 (EBS point-in-time snapshots). Snapshots are incremental and compressed
- Cached Volume mode – the entire dataset is stored on S3 and a cache of the most frequently accessed data is cached on-site
AWS Storage Gateway File Gateway provides a virtual on-premises file server, which enables you to store and retrieve files as objects in Amazon S3
Multi-part upload and transfer acceleration are features of S3 associated with uploading files directly to S3"
